id	label
17414	generated
16938	human
17379	generated
5391	generated
17310	human
5352	human
4007	human
8509	generated
17595	generated
15606	generated
11624	human
8019	generated
15479	human
13090	generated
4417	generated
8256	generated
16908	generated
13715	human
11433	generated
8785	generated
14384	generated
8165	generated
19578	generated
4519	generated
14337	generated
13846	human
12659	human
1729	generated
4770	generated
12797	generated
8845	generated
12189	human
20048	generated
3707	human
18723	generated
8546	generated
1201	generated
16459	human
8260	generated
2725	generated
15917	human
17137	human
17987	generated
6472	human
15744	human
14259	human
993	generated
4745	human
6648	generated
828	generated
4258	generated
13002	generated
16849	generated
3615	generated
16757	generated
11785	generated
16042	generated
15474	generated
2617	human
6631	generated
8951	generated
19645	generated
2505	generated
14880	generated
8029	generated
14481	generated
18812	generated
9859	generated
19900	generated
12078	generated
19775	generated
16145	generated
15980	generated
15718	human
10265	generated
3979	human
10108	generated
13805	generated
7781	generated
971	generated
6076	generated
351	generated
18978	generated
15350	human
8658	generated
12241	generated
10172	generated
17714	generated
10484	generated
4230	human
8803	generated
13887	human
4966	human
7182	human
2518	generated
7650	human
18103	generated
15963	generated
5937	human
1554	generated
15870	generated
5723	human
9606	generated
14645	generated
12099	generated
6490	generated
4371	human
5849	generated
208	generated
10389	generated
17241	generated
8854	generated
9891	generated
12726	generated
16983	generated
20321	human
6867	human
12441	generated
3350	generated
18469	generated
15428	human
1978	human
6072	generated
9745	generated
8685	human
11640	human
6489	generated
8135	generated
19409	generated
12187	generated
2641	generated
15736	generated
9409	generated
9500	human
17143	generated
15846	generated
18609	human
14021	generated
3931	generated
11341	generated
3433	human
5948	generated
606	generated
14195	human
10479	generated
1527	generated
13653	generated
4950	generated
1453	generated
16847	human
15875	generated
4307	generated
4447	generated
11959	generated
11277	generated
11153	generated
4410	generated
438	generated
3588	generated
738	generated
16651	generated
12196	human
6220	generated
803	generated
14975	generated
12584	human
1510	generated
19163	generated
7571	human
19434	generated
19215	generated
8623	generated
9443	generated
1027	generated
6512	generated
7285	generated
15092	generated
2687	generated
10806	generated
10366	generated
10497	generated
7327	generated
20046	generated
119	generated
17524	generated
9958	generated
6956	generated
5802	generated
12845	generated
3525	human
19267	generated
1402	generated
1147	generated
1433	human
9052	generated
8058	generated
19981	human
19600	generated
4448	generated
14164	human
12163	human
19799	generated
1489	generated
10368	generated
12573	generated
14779	generated
17745	generated
10294	generated
17284	generated
2202	human
10459	human
13977	human
1730	generated
13701	human
14322	generated
17184	human
10454	generated
14242	generated
13487	generated
2043	generated
7275	generated
4720	generated
19429	generated
4178	generated
7539	generated
17999	generated
16813	human
5826	generated
7085	generated
2467	generated
20082	generated
15356	human
14509	human
19476	generated
1290	generated
19591	generated
18731	generated
7744	generated
2684	generated
15614	generated
9492	generated
5385	generated
19207	generated
8170	generated
11629	human
7789	generated
2876	generated
11148	generated
13583	human
6145	human
5871	human
1710	generated
6162	generated
14887	human
14869	human
15938	generated
34	generated
15662	human
15567	generated
19932	generated
9195	generated
16223	generated
14429	human
2893	generated
11901	generated
2981	generated
15316	generated
3018	generated
15068	generated
11408	generated
15912	generated
13546	generated
18754	generated
17956	generated
14898	generated
9656	generated
3492	generated
4999	human
19888	generated
17363	generated
218	generated
16476	human
10250	generated
5357	generated
20031	generated
4393	generated
20226	generated
13274	generated
10062	generated
2571	human
2812	generated
6951	human
14094	generated
5474	human
18044	generated
13133	generated
18021	generated
5857	generated
5099	generated
16800	generated
3686	generated
18549	human
13632	generated
2020	generated
19879	generated
2516	generated
18511	generated
11276	generated
6725	generated
14855	generated
19571	generated
19923	generated
2444	generated
16664	generated
2301	generated
12447	generated
5748	human
4186	generated
13688	generated
11643	generated
17546	generated
1713	generated
2305	generated
4199	generated
10311	generated
2935	generated
14435	generated
6377	generated
4741	human
1087	generated
16733	human
15122	generated
18019	generated
16596	generated
4954	generated
4724	human
16804	human
10402	generated
15482	generated
12933	human
6483	human
7402	generated
10259	generated
10328	generated
10804	generated
15363	human
17724	generated
6381	generated
3474	human
13779	human
474	generated
10612	generated
18068	generated
3111	generated
16398	generated
16622	human
7873	generated
2503	generated
2315	generated
11464	generated
3532	generated
13457	generated
19000	generated
10045	generated
12821	generated
5426	generated
503	generated
4153	generated
10371	generated
15651	human
2789	generated
13110	generated
14217	human
3062	human
18858	generated
1443	human
19491	generated
6293	generated
3222	human
7168	generated
15535	human
7477	generated
3482	generated
6366	human
8059	generated
7760	generated
385	generated
17560	generated
12425	generated
2585	generated
2420	generated
18361	generated
19754	generated
10719	generated
14807	generated
16712	generated
4564	generated
15268	human
15418	generated
12154	human
20014	generated
8331	generated
10862	generated
6013	generated
18578	generated
856	generated
10663	generated
13880	human
15610	generated
7071	human
5734	generated
18349	generated
12513	generated
2559	generated
7687	generated
2177	generated
5186	generated
16926	human
17344	generated
7221	generated
2238	generated
10979	human
2003	generated
12509	generated
15970	human
15799	human
9325	generated
10105	generated
1034	generated
17360	generated
15455	human
9960	generated
6677	generated
6137	generated
14548	human
11209	human
9798	generated
11266	generated
1870	generated
6409	generated
5598	generated
8395	generated
7924	generated
18617	generated
15054	human
7969	human
8171	generated
2864	generated
7305	generated
18082	generated
4373	generated
9818	generated
16120	generated
8805	generated
936	generated
12799	generated
3728	generated
960	generated
18963	generated
14294	generated
12484	generated
11162	generated
5144	generated
3165	generated
10868	generated
2480	generated
17857	generated
6350	human
14891	generated
2199	generated
17413	human
3643	human
7881	generated
18483	generated
17316	human
15816	human
13020	human
16745	human
11213	generated
4420	human
19081	generated
8086	generated
1805	generated
13047	generated
3668	human
5642	human
2910	generated
2712	human
6209	generated
8440	generated
6148	generated
11114	generated
20023	generated
14370	generated
7665	generated
10036	generated
15806	generated
12285	generated
5128	generated
4069	generated
11012	human
13935	human
17160	human
4442	generated
18288	generated
9090	human
15647	human
5183	human
16974	human
5381	human
6434	generated
866	generated
5112	human
6556	generated
12111	generated
13244	generated
19945	generated
15757	generated
1272	generated
2214	generated
2752	generated
10901	generated
2495	generated
3733	human
7029	generated
14598	generated
7136	human
18100	generated
6052	generated
9463	generated
18434	generated
6367	human
4896	generated
11947	human
10574	generated
2783	generated
7256	generated
133	generated
19480	generated
11614	human
11808	generated
14276	human
7888	generated
16040	human
3507	generated
20346	generated
14956	human
15607	generated
2041	generated
19290	generated
14811	human
5743	generated
17378	generated
8956	generated
18665	generated
7831	generated
6292	generated
451	generated
2247	generated
17739	generated
11656	human
1962	generated
10928	generated
14416	human
14017	human
1097	generated
2647	generated
14919	human
4073	human
7386	generated
4084	generated
19637	generated
3522	generated
9888	generated
1512	generated
11537	generated
18261	generated
1611	generated
2751	human
1624	human
3769	generated
4045	generated
812	generated
5945	generated
12408	generated
12058	generated
5584	generated
11369	generated
7324	human
10534	generated
11809	generated
13618	generated
8822	generated
16006	generated
14374	human
5784	generated
17092	human
3310	human
20133	generated
11127	generated
447	generated
7771	generated
6039	generated
12762	human
9770	generated
7284	generated
8062	generated
8608	generated
8797	human
5667	generated
180	generated
3528	human
16711	generated
5814	generated
251	generated
19833	generated
2602	generated
16570	generated
18822	generated
8034	generated
20232	generated
4165	generated
3616	human
19810	generated
3725	generated
20041	generated
10274	generated
19010	generated
1163	generated
6153	generated
7854	human
17265	generated
17642	generated
12776	generated
6024	generated
19431	generated
5566	generated
6848	generated
15801	generated
13572	generated
14974	generated
7403	generated
2090	generated
11429	generated
5861	human
8375	generated
1642	generated
7944	generated
2277	generated
7719	generated
17775	generated
7277	generated
4021	human
1205	generated
18296	generated
14993	human
14104	human
4739	human
15255	human
12490	generated
14131	generated
11677	human
9185	generated
13197	generated
10952	human
8099	generated
4877	generated
1328	generated
13660	generated
8882	generated
7751	human
3394	generated
8195	generated
5864	generated
17853	generated
10596	generated
9754	human
14261	generated
19697	generated
16932	human
13751	human
19654	generated
5689	generated
15554	human
10961	generated
8688	generated
4496	generated
20299	generated
16159	generated
14009	generated
15619	generated
1052	generated
11121	human
14634	generated
8604	generated
6417	human
20215	generated
8271	generated
12985	generated
10480	generated
3277	generated
322	generated
12140	generated
12860	generated
383	generated
13996	human
12052	generated
18798	generated
10275	generated
17636	generated
9704	generated
7836	generated
10882	generated
12292	generated
4973	human
1337	generated
10157	generated
16257	generated
14121	human
12055	generated
6271	human
19565	generated
3752	generated
11361	generated
1572	generated
1006	generated
18212	generated
19764	generated
2392	generated
18090	generated
17632	generated
15864	human
20076	generated
7638	human
1202	generated
7115	human
9711	generated
19959	generated
3334	generated
8896	generated
13458	generated
4413	human
18369	generated
16297	human
5893	generated
16760	human
13073	generated
15956	human
8035	generated
4630	human
20140	generated
5337	generated
980	generated
1599	generated
19130	generated
5022	generated
6020	generated
3282	generated
11747	generated
6733	generated
4156	generated
1182	generated
6741	generated
9092	generated
17881	generated
2767	generated
15673	human
7922	generated
10907	generated
9191	generated
720	generated
14720	generated
1077	generated
1768	generated
16626	generated
15103	human
16986	generated
2448	generated
8776	generated
7580	generated
15227	generated
15808	human
14564	generated
17688	generated
326	generated
9892	generated
7303	generated
15683	generated
2992	human
7703	generated
8936	generated
19236	generated
15977	human
2878	generated
4336	generated
8513	generated
16739	human
20188	generated
18890	generated
12959	generated
7333	generated
16860	generated
17720	generated
13726	generated
16837	generated
12915	generated
15232	generated
31	generated
7752	generated
16972	generated
18335	generated
7947	generated
17460	human
17225	generated
8114	generated
10289	generated
928	generated
16108	generated
3421	generated
3274	generated
9391	generated
2026	human
8478	generated
10227	generated
14103	human
11418	generated
13079	generated
127	generated
11716	generated
9880	generated
17199	generated
2388	generated
17451	human
3230	human
14681	generated
11743	human
16833	generated
2898	generated
3609	generated
3617	human
6325	human
247	generated
3703	human
14517	generated
12331	generated
5671	generated
3699	generated
13539	generated
6062	generated
4520	generated
9466	generated
4984	generated
4672	generated
11793	generated
15276	generated
4032	generated
13172	generated
14872	human
14641	generated
12480	human
13214	generated
12274	generated
5511	generated
19840	generated
718	generated
16256	human
18666	generated
12827	generated
11136	generated
13588	human
19786	generated
8678	generated
1456	generated
13753	human
5923	generated
2141	generated
9778	generated
11958	generated
10904	generated
2393	generated
2512	human
12621	generated
11304	generated
3844	generated
3798	generated
5564	generated
3559	generated
5960	human
7664	generated
18400	generated
18329	generated
2699	generated
17202	generated
8094	generated
12341	generated
4783	human
7100	human
6270	human
14227	human
10098	generated
9936	generated
115	generated
6258	generated
6315	generated
19393	generated
7627	generated
6165	human
15827	human
8254	generated
2127	generated
3341	generated
8830	generated
484	generated
17420	generated
16915	generated
7185	human
2008	generated
2608	generated
3776	generated
17519	human
20235	generated
13587	human
18132	generated
19839	generated
5020	generated
15270	human
4540	generated
17170	generated
341	generated
10001	generated
5090	generated
17422	human
5098	generated
14944	generated
313	human
15451	human
11741	generated
2929	generated
11892	generated
8700	generated
15557	generated
7592	generated
5654	generated
18499	generated
4634	human
409	generated
1580	generated
12143	generated
3503	human
6006	human
16978	human
19974	generated
3623	generated
16812	generated
15513	generated
17825	generated
18390	generated
5348	generated
16004	generated
16903	generated
17966	generated
5954	generated
3800	generated
18981	generated
2140	human
10657	generated
6023	generated
7247	human
7020	human
13083	generated
3351	human
1350	human
15085	generated
8352	human
7337	human
9872	generated
2412	generated
16823	human
13884	generated
7459	generated
10611	generated
6687	human
7662	generated
8196	generated
11733	generated
15579	human
6433	human
6045	generated
3778	human
14345	generated
3472	human
17099	human
9854	generated
2117	generated
17839	generated
8233	generated
16056	generated
6778	generated
18804	generated
17768	generated
3887	human
9010	generated
3934	generated
6670	generated
11663	generated
1398	generated
12639	generated
17790	generated
2265	human
4194	human
408	generated
11376	generated
19909	generated
8116	generated
16160	human
9579	generated
17603	generated
7298	generated
12829	generated
11717	generated
12227	generated
4693	human
11558	generated
19322	generated
19432	generated
17711	generated
18636	generated
19694	generated
3035	generated
3024	human
7317	human
5116	generated
18990	generated
13164	generated
16414	human
265	human
3002	generated
8350	generated
3498	human
18154	generated
7466	generated
6415	human
9418	generated
17556	generated
4436	human
12571	generated
1534	human
2300	generated
8506	generated
14726	generated
3434	human
15425	generated
6136	generated
695	generated
15382	human
9400	generated
14084	generated
10943	generated
7061	human
12609	generated
11497	generated
10408	generated
10679	human
10418	generated
5460	generated
9690	generated
5306	generated
14668	human
17767	generated
15519	human
139	generated
8922	generated
2084	generated
3388	generated
16771	generated
9403	generated
14963	generated
2115	generated
5665	generated
3468	human
19670	generated
2250	generated
10560	generated
5561	generated
16840	human
3505	generated
11886	generated
17133	generated
16301	human
1288	generated
3910	generated
14624	generated
9668	generated
3894	generated
14816	generated
12216	generated
5518	generated
4556	generated
3233	generated
9380	generated
13071	generated
5117	generated
17168	human
10507	generated
18359	generated
19243	generated
6141	human
17384	human
12558	human
6815	human
7517	human
6891	generated
7801	human
14992	human
18686	generated
16631	generated
15923	generated
6532	human
7438	generated
210	generated
19224	generated
20229	generated
16498	generated
8242	generated
19249	generated
5236	generated
8489	generated
424	human
13302	generated
10224	generated
17904	generated
19154	generated
6896	human
7051	generated
19597	generated
10792	generated
20012	generated
7222	generated
327	generated
11253	generated
9468	generated
2676	generated
7786	generated
16144	generated
88	generated
6421	generated
4678	human
4252	generated
3755	generated
10843	generated
6717	generated
1056	generated
4706	generated
1084	generated
2638	human
18033	generated
2195	generated
5537	generated
4580	generated
7107	human
8025	generated
18870	generated
8109	generated
4688	generated
4843	human
5792	human
3425	generated
17472	generated
4767	generated
11318	human
3473	generated
1475	human
5199	generated
15720	generated
19608	generated
9086	human
6536	generated
13836	generated
14331	generated
8935	generated
2483	human
2616	generated
11388	generated
3211	generated
20256	generated
14655	human
11311	generated
2781	human
221	generated
20291	generated
8829	generated
15487	generated
4337	generated
10614	generated
11662	generated
499	human
9452	generated
1227	generated
5277	generated
15135	generated
8028	generated
8380	human
8858	generated
19485	generated
6482	generated
14840	human
5848	human
6067	generated
15273	generated
7428	generated
466	generated
59	generated
9975	generated
1297	generated
3572	generated
4909	generated
3682	generated
2119	generated
1632	generated
7474	generated
12751	generated
10946	generated
2937	human
1911	human
1346	generated
2323	generated
878	generated
17217	generated
8359	generated
15303	human
18875	human
15665	generated
9512	generated
1530	generated
11840	generated
14499	human
3226	human
4296	human
4743	generated
5863	generated
4972	generated
16246	generated
2207	generated
200	generated
17884	generated
15555	human
14076	human
8137	generated
6061	generated
9119	generated
4449	generated
18529	generated
898	generated
19617	generated
10669	generated
8103	generated
11863	generated
20339	generated
5503	generated
14450	generated
1092	generated
12899	generated
6164	human
8703	generated
2325	generated
9113	generated
14560	human
19988	generated
17922	generated
3168	human
11977	generated
6491	generated
15237	human
17386	generated
6492	generated
19202	generated
5925	human
2171	human
1604	generated
15491	generated
12247	generated
11548	human
12475	generated
8952	generated
8522	generated
3919	human
18156	generated
9250	human
16178	human
19828	generated
3488	generated
12457	generated
11883	generated
1282	human
16809	generated
6075	human
17936	generated
5170	human
7220	generated
18495	generated
1788	generated
5412	generated
8937	generated
9585	generated
9913	generated
1692	generated
7884	generated
8981	generated
15308	human
9792	generated
11208	generated
11844	generated
13933	generated
8835	generated
15322	human
18614	generated
15115	generated
17643	generated
8673	generated
11888	generated
7068	generated
1114	generated
6557	generated
1981	generated
11320	generated
15880	generated
16003	generated
5905	generated
8570	generated
19727	generated
19437	generated
18428	generated
3265	generated
5714	generated
6301	generated
12266	generated
16738	generated
7983	generated
2848	generated
1427	generated
14780	human
10087	generated
19088	generated
3652	generated
2457	generated
1258	generated
18065	generated
14470	generated
16924	generated
13728	generated
16046	generated
17799	generated
273	generated
12131	generated
5354	generated
2153	generated
8769	generated
19728	generated
20253	generated
18408	generated
16088	generated
16913	generated
1063	human
16094	human
4842	human
18593	generated
18006	generated
15732	human
20105	generated
20110	generated
13175	human
17718	generated
16870	human
17549	generated
5862	generated
5833	human
19520	generated
3142	generated
12220	human
3125	generated
11715	generated
19922	generated
10769	human
18701	generated
17963	generated
16109	generated
9734	generated
1493	generated
2622	human
3529	generated
12092	generated
11961	generated
5749	human
15659	generated
13111	generated
14736	generated
6534	generated
2533	generated
20349	generated
15502	human
8319	generated
423	human
10885	generated
19275	generated
257	generated
9626	generated
18034	generated
9800	generated
19916	generated
16617	generated
11811	generated
16640	generated
16740	generated
3948	generated
11678	generated
14116	generated
8957	generated
2797	generated
9162	generated
9467	generated
11583	human
17477	generated
346	generated
10867	generated
19537	generated
3011	generated
11610	generated
12785	generated
18423	generated
2826	generated
4824	generated
6504	generated
9016	generated
19116	generated
9396	generated
1606	generated
14395	generated
5290	human
18591	generated
4609	generated
3287	generated
4744	generated
18785	generated
7713	generated
8178	generated
10705	generated
17445	human
20130	generated
19563	generated
13864	generated
17031	human
4751	human
18220	human
8262	generated
103	generated
13485	generated
14432	generated
18284	generated
20090	generated
15774	human
2334	generated
3698	generated
4848	human
8318	generated
15652	human
6119	generated
15430	human
13642	generated
13943	generated
2235	generated
10645	generated
2904	generated
9571	generated
12428	human
3843	generated
6950	generated
5035	generated
13498	generated
3068	generated
5549	generated
11068	generated
14724	generated
11297	generated
12088	generated
12049	human
10782	generated
19612	generated
2150	generated
16143	human
57	generated
13497	generated
19771	generated
7094	generated
5736	generated
9214	generated
1535	human
459	generated
9315	generated
16059	human
20247	generated
4143	human
7038	generated
10133	generated
10019	generated
8552	human
2346	human
18559	generated
6225	human
6586	generated
9070	generated
16070	generated
4902	human
18709	generated
15326	generated
18735	human
13119	human
17697	generated
9861	generated
8409	generated
4148	generated
16602	human
13352	generated
379	generated
10387	generated
10035	generated
4058	generated
7149	human
17898	generated
9857	generated
13480	generated
12981	generated
3753	generated
16502	generated
9816	generated
7559	generated
9495	generated
649	human
10422	generated
20274	generated
13263	generated
2145	human
18457	generated
19864	generated
16649	generated
911	generated
4189	generated
8599	generated
13883	generated
12754	generated
9014	generated
2753	generated
18213	generated
12295	generated
18718	generated
11264	generated
13049	human
14953	human
6357	generated
11903	generated
15890	human
17783	generated
7451	generated
1901	generated
6551	human
14141	generated
3210	human
17937	generated
6735	generated
4788	generated
19545	generated
14477	generated
2312	generated
5250	generated
19034	generated
1994	generated
6695	generated
12303	generated
2578	generated
18653	generated
9758	generated
17572	generated
9332	generated
7316	generated
9532	generated
15815	generated
15364	generated
2748	generated
7125	generated
8097	generated
18124	generated
2862	human
5605	human
7516	human
16933	generated
8739	generated
8972	generated
19919	generated
16535	generated
3886	generated
14293	generated
2351	human
5754	generated
17852	generated
14371	generated
8054	generated
16710	human
5742	human
3	generated
16768	generated
12842	generated
3023	generated
10772	generated
11518	generated
13816	generated
17348	human
344	generated
8063	generated
18916	generated
3461	generated
4226	generated
12283	generated
10777	generated
16727	generated
17580	generated
19750	generated
19871	generated
8614	human
9773	generated
19674	generated
42	generated
12456	generated
11107	generated
1522	generated
6955	generated
10884	human
17576	generated
795	generated
17448	generated
11756	human
15828	human
18007	generated
14315	human
15203	generated
16248	generated
11139	generated
4740	human
1807	generated
16586	human
3794	human
12570	generated
3784	generated
6074	human
46	generated
20197	generated
4101	generated
5685	generated
17246	generated
6442	generated
10101	generated
7109	human
19364	generated
18415	generated
5018	generated
11444	human
5996	generated
10446	generated
19106	human
13290	generated
3393	human
13225	generated
3000	generated
15506	human
8574	generated
6650	human
2968	generated
9545	generated
1815	generated
3302	human
16846	generated
17431	human
2133	generated
19232	human
14746	human
16410	generated
16010	generated
