id	label
17414	human
16938	human
17379	generated
5391	human
17310	human
5352	human
4007	generated
8509	generated
17595	generated
15606	human
11624	human
8019	human
15479	human
13090	human
4417	human
8256	human
16908	generated
13715	generated
11433	human
8785	human
14384	generated
8165	generated
19578	generated
4519	human
14337	human
13846	human
12659	human
1729	human
4770	human
12797	human
8845	human
12189	human
20048	generated
3707	human
18723	generated
8546	human
1201	human
16459	human
8260	generated
2725	human
15917	human
17137	human
17987	human
6472	human
15744	human
14259	generated
993	human
4745	human
6648	human
828	human
4258	human
13002	human
16849	generated
3615	human
16757	generated
11785	generated
16042	generated
15474	human
2617	human
6631	human
8951	human
19645	human
2505	human
14880	human
8029	human
14481	generated
18812	generated
9859	human
19900	human
12078	generated
19775	generated
16145	generated
15980	generated
15718	human
10265	generated
3979	human
10108	human
13805	human
7781	human
971	human
6076	generated
351	generated
18978	generated
15350	generated
8658	human
12241	human
10172	human
17714	generated
10484	human
4230	human
8803	human
13887	human
4966	human
7182	human
2518	human
7650	human
18103	generated
15963	generated
5937	human
1554	human
15870	human
5723	human
9606	human
14645	human
12099	generated
6490	human
4371	human
5849	human
208	human
10389	human
17241	human
8854	human
9891	human
12726	human
16983	human
20321	human
6867	human
12441	generated
3350	generated
18469	generated
15428	human
1978	human
6072	human
9745	generated
8685	human
11640	human
6489	generated
8135	human
19409	generated
12187	human
2641	human
15736	human
9409	human
9500	generated
17143	human
15846	human
18609	generated
14021	human
3931	human
11341	human
3433	generated
5948	generated
606	generated
14195	generated
10479	human
1527	human
13653	human
4950	human
1453	human
16847	human
15875	human
4307	human
4447	generated
11959	generated
11277	human
11153	human
4410	generated
438	human
3588	human
738	human
16651	generated
12196	human
6220	human
803	human
14975	human
12584	generated
1510	generated
19163	human
7571	human
19434	generated
19215	human
8623	human
9443	human
1027	human
6512	human
7285	human
15092	human
2687	generated
10806	generated
10366	human
10497	human
7327	human
20046	human
119	generated
17524	generated
9958	human
6956	generated
5802	human
12845	human
3525	human
19267	generated
1402	human
1147	human
1433	human
9052	human
8058	generated
19981	human
19600	generated
4448	human
14164	human
12163	human
19799	human
1489	human
10368	generated
12573	generated
14779	human
17745	generated
10294	human
17284	human
2202	human
10459	human
13977	human
1730	human
13701	human
14322	human
17184	human
10454	human
14242	human
13487	generated
2043	human
7275	generated
4720	human
19429	human
4178	human
7539	human
17999	generated
16813	human
5826	human
7085	human
2467	human
20082	generated
15356	generated
14509	human
19476	generated
1290	human
19591	human
18731	generated
7744	generated
2684	human
15614	generated
9492	human
5385	human
19207	generated
8170	human
11629	human
7789	human
2876	human
11148	generated
13583	human
6145	generated
5871	generated
1710	human
6162	human
14887	human
14869	human
15938	human
34	human
15662	human
15567	human
19932	human
9195	generated
16223	human
14429	human
2893	human
11901	human
2981	human
15316	human
3018	human
15068	generated
11408	human
15912	human
13546	human
18754	human
17956	generated
14898	human
9656	human
3492	human
4999	human
19888	generated
17363	human
218	human
16476	human
10250	human
5357	generated
20031	human
4393	human
20226	generated
13274	human
10062	human
2571	human
2812	human
6951	generated
14094	human
5474	human
18044	human
13133	human
18021	human
5857	human
5099	human
16800	human
3686	generated
18549	generated
13632	human
2020	human
19879	human
2516	human
18511	human
11276	human
6725	generated
14855	human
19571	generated
19923	human
2444	human
16664	generated
2301	human
12447	generated
5748	human
4186	generated
13688	human
11643	human
17546	human
1713	human
2305	generated
4199	human
10311	human
2935	human
14435	generated
6377	human
4741	generated
1087	human
16733	human
15122	human
18019	generated
16596	generated
4954	human
4724	human
16804	human
10402	human
15482	human
12933	human
6483	generated
7402	human
10259	generated
10328	human
10804	human
15363	generated
17724	human
6381	human
3474	human
13779	human
474	human
10612	generated
18068	generated
3111	human
16398	generated
16622	generated
7873	human
2503	human
2315	human
11464	human
3532	human
13457	human
19000	generated
10045	generated
12821	generated
5426	human
503	human
4153	generated
10371	human
15651	human
2789	human
13110	human
14217	generated
3062	human
18858	generated
1443	human
19491	human
6293	human
3222	human
7168	human
15535	generated
7477	human
3482	generated
6366	human
8059	generated
7760	human
385	human
17560	generated
12425	generated
2585	human
2420	human
18361	generated
19754	generated
10719	human
14807	human
16712	human
4564	human
15268	human
15418	generated
12154	human
20014	generated
8331	human
10862	human
6013	generated
18578	human
856	human
10663	human
13880	human
15610	human
7071	human
5734	human
18349	generated
12513	human
2559	human
7687	human
2177	generated
5186	human
16926	generated
17344	human
7221	human
2238	human
10979	human
2003	human
12509	generated
15970	human
15799	human
9325	human
10105	human
1034	human
17360	generated
15455	human
9960	human
6677	human
6137	human
14548	human
11209	generated
9798	human
11266	generated
1870	generated
6409	human
5598	generated
8395	generated
7924	human
18617	human
15054	generated
7969	generated
8171	human
2864	generated
7305	human
18082	generated
4373	human
9818	human
16120	human
8805	human
936	human
12799	generated
3728	human
960	human
18963	generated
14294	human
12484	human
11162	generated
5144	human
3165	human
10868	human
2480	human
17857	human
6350	human
14891	generated
2199	human
17413	human
3643	human
7881	generated
18483	generated
17316	generated
15816	human
13020	human
16745	generated
11213	human
4420	generated
19081	human
8086	human
1805	human
13047	human
3668	human
5642	human
2910	human
2712	human
6209	human
8440	human
6148	human
11114	human
20023	generated
14370	human
7665	human
10036	human
15806	generated
12285	human
5128	human
4069	human
11012	human
13935	human
17160	human
4442	human
18288	generated
9090	generated
15647	human
5183	generated
16974	generated
5381	human
6434	human
866	generated
5112	human
6556	human
12111	human
13244	human
19945	generated
15757	human
1272	human
2214	generated
2752	generated
10901	human
2495	human
3733	human
7029	generated
14598	human
7136	human
18100	generated
6052	generated
9463	human
18434	generated
6367	human
4896	generated
11947	human
10574	human
2783	human
7256	human
133	generated
19480	human
11614	human
11808	generated
14276	human
7888	human
16040	human
3507	human
20346	human
14956	generated
15607	human
2041	human
19290	generated
14811	human
5743	human
17378	human
8956	human
18665	human
7831	human
6292	human
451	human
2247	human
17739	generated
11656	generated
